user_id,age,gender,occupation,generation,email,password
1,24,M,technician,20-29,a@gmail.com,movien123
2,53,F,other,50-59,a@gmail.com,movien123
3,23,M,writer,20-29,a@gmail.com,movien123
4,24,M,technician,20-29,a@gmail.com,movien123
5,33,F,other,30-39,a@gmail.com,movien123
6,42,M,executive,40-49,a@gmail.com,movien123
7,57,M,administrator,50-59,a@gmail.com,movien123
8,36,M,administrator,30-39,a@gmail.com,movien123
9,29,M,student,20-29,a@gmail.com,movien123
10,53,M,lawyer,50-59,a@gmail.com,movien123
11,39,F,other,30-39,a@gmail.com,movien123
12,28,F,other,20-29,a@gmail.com,movien123
13,47,M,educator,40-49,a@gmail.com,movien123
14,45,M,scientist,40-49,a@gmail.com,movien123
15,49,F,educator,40-49,a@gmail.com,movien123
16,21,M,entertainment,20-29,a@gmail.com,movien123
17,30,M,programmer,30-39,a@gmail.com,movien123
18,35,F,other,30-39,a@gmail.com,movien123
19,40,M,librarian,40-49,a@gmail.com,movien123
20,42,F,homemaker,40-49,a@gmail.com,movien123
21,26,M,writer,20-29,a@gmail.com,movien123
22,25,M,writer,20-29,a@gmail.com,movien123
23,30,F,artist,30-39,a@gmail.com,movien123
24,21,F,artist,20-29,a@gmail.com,movien123
25,39,M,engineer,30-39,a@gmail.com,movien123
26,49,M,engineer,40-49,a@gmail.com,movien123
27,40,F,librarian,40-49,a@gmail.com,movien123
28,32,M,writer,30-39,a@gmail.com,movien123
29,41,M,programmer,40-49,a@gmail.com,movien123
30,7,M,student,kids,a@gmail.com,movien123
31,24,M,artist,20-29,a@gmail.com,movien123
32,28,F,student,20-29,a@gmail.com,movien123
33,23,M,student,20-29,a@gmail.com,movien123
34,38,F,administrator,30-39,a@gmail.com,movien123
35,20,F,homemaker,20-29,a@gmail.com,movien123
36,19,F,student,teens,a@gmail.com,movien123
37,23,M,student,20-29,a@gmail.com,movien123
38,28,F,other,20-29,a@gmail.com,movien123
39,41,M,entertainment,40-49,a@gmail.com,movien123
40,38,M,scientist,30-39,a@gmail.com,movien123
41,33,M,engineer,30-39,a@gmail.com,movien123
42,30,M,administrator,30-39,a@gmail.com,movien123
43,29,F,librarian,20-29,a@gmail.com,movien123
44,26,M,technician,20-29,a@gmail.com,movien123
45,29,M,programmer,20-29,a@gmail.com,movien123
46,27,F,marketing,20-29,a@gmail.com,movien123
47,53,M,marketing,50-59,a@gmail.com,movien123
48,45,M,administrator,40-49,a@gmail.com,movien123
49,23,F,student,20-29,a@gmail.com,movien123
50,21,M,writer,20-29,a@gmail.com,movien123
51,28,M,educator,20-29,a@gmail.com,movien123
52,18,F,student,teens,a@gmail.com,movien123
53,26,M,programmer,20-29,a@gmail.com,movien123
54,22,M,executive,20-29,a@gmail.com,movien123
55,37,M,programmer,30-39,a@gmail.com,movien123
56,25,M,librarian,20-29,a@gmail.com,movien123
57,16,M,none,teens,a@gmail.com,movien123
58,27,M,programmer,20-29,a@gmail.com,movien123
59,49,M,educator,40-49,a@gmail.com,movien123
60,50,M,healthcare,50-59,a@gmail.com,movien123
61,36,M,engineer,30-39,a@gmail.com,movien123
62,27,F,administrator,20-29,a@gmail.com,movien123
63,31,M,marketing,30-39,a@gmail.com,movien123
64,32,M,educator,30-39,a@gmail.com,movien123
65,51,F,educator,50-59,a@gmail.com,movien123
66,23,M,student,20-29,a@gmail.com,movien123
67,17,M,student,teens,a@gmail.com,movien123
68,19,M,student,teens,a@gmail.com,movien123
69,24,M,engineer,20-29,a@gmail.com,movien123
70,27,M,engineer,20-29,a@gmail.com,movien123
71,39,M,scientist,30-39,a@gmail.com,movien123
72,48,F,administrator,40-49,a@gmail.com,movien123
73,24,M,student,20-29,a@gmail.com,movien123
74,39,M,scientist,30-39,a@gmail.com,movien123
75,24,M,entertainment,20-29,a@gmail.com,movien123
76,20,M,student,20-29,a@gmail.com,movien123
77,30,M,technician,30-39,a@gmail.com,movien123
78,26,M,administrator,20-29,a@gmail.com,movien123
79,39,F,administrator,30-39,a@gmail.com,movien123
80,34,F,administrator,30-39,a@gmail.com,movien123
81,21,M,student,20-29,a@gmail.com,movien123
82,50,M,programmer,50-59,a@gmail.com,movien123
83,40,M,other,40-49,a@gmail.com,movien123
84,32,M,executive,30-39,a@gmail.com,movien123
85,51,M,educator,50-59,a@gmail.com,movien123
86,26,M,administrator,20-29,a@gmail.com,movien123
87,47,M,administrator,40-49,a@gmail.com,movien123
88,49,F,librarian,40-49,a@gmail.com,movien123
89,43,F,administrator,40-49,a@gmail.com,movien123
90,60,M,educator,60-69,a@gmail.com,movien123
91,55,M,marketing,50-59,a@gmail.com,movien123
92,32,M,entertainment,30-39,a@gmail.com,movien123
93,48,M,executive,40-49,a@gmail.com,movien123
94,26,M,student,20-29,a@gmail.com,movien123
95,31,M,administrator,30-39,a@gmail.com,movien123
96,25,F,artist,20-29,a@gmail.com,movien123
97,43,M,artist,40-49,a@gmail.com,movien123
98,49,F,executive,40-49,a@gmail.com,movien123
99,20,M,student,20-29,a@gmail.com,movien123
100,36,M,executive,30-39,a@gmail.com,movien123
101,15,M,student,teens,a@gmail.com,movien123
102,38,M,programmer,30-39,a@gmail.com,movien123
103,26,M,student,20-29,a@gmail.com,movien123
104,27,M,student,20-29,a@gmail.com,movien123
105,24,M,engineer,20-29,a@gmail.com,movien123
106,61,M,retired,60-69,a@gmail.com,movien123
107,39,M,scientist,30-39,a@gmail.com,movien123
108,44,M,educator,40-49,a@gmail.com,movien123
109,29,M,other,20-29,a@gmail.com,movien123
110,19,M,student,teens,a@gmail.com,movien123
111,57,M,engineer,50-59,a@gmail.com,movien123
112,30,M,salesman,30-39,a@gmail.com,movien123
113,47,M,executive,40-49,a@gmail.com,movien123
114,27,M,programmer,20-29,a@gmail.com,movien123
115,31,M,engineer,30-39,a@gmail.com,movien123
116,40,M,healthcare,40-49,a@gmail.com,movien123
117,20,M,student,20-29,a@gmail.com,movien123
118,21,M,administrator,20-29,a@gmail.com,movien123
119,32,M,programmer,30-39,a@gmail.com,movien123
120,47,F,other,40-49,a@gmail.com,movien123
121,54,M,librarian,50-59,a@gmail.com,movien123
